descripcion,tipo,metal,piedra,quilates,estado,costo,proveedor_o_consignante,fecha_adquisicion,notas,_fila_origen,_confianza,_nota,_pregunta_pendiente
Esmeralda Colombiana 1.5 - 3 Corte Esmeralda 1.46ct,piedra,,Esmeralda,1.46,disponible,1147.73,,,Cert/Serie: G2503310165 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R29,alta,,
Esmeralda Colombiana 5.8 - 6.5 Corte Esmeralda 5.17ct,piedra,,Esmeralda,5.17,disponible,4437.89,,,Cert/Serie: G2503310168 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R30,alta,,
Esmeralda Colombiana 5.8 - 6.5 Corte Esmeralda 5.17ct,piedra,,Esmeralda,5.17,disponible,4437.89,,,Cert/Serie: G2503310169 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R31,alta,,
Esmeralda Zambia 1 - 1.3 Corte Esmeralda 0.72ct,piedra,,Esmeralda,0.72,disponible,459.09,,,Cert/Serie: G2503310171 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R32,alta,,
Esmeralda Zambia 1 - 1.3 Corte Esmeralda 0.76ct,piedra,,Esmeralda,0.76,disponible,459.09,,,Cert/Serie: G2503310170 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R33,alta,,
Esmeralda Zambia 1 - 1.3 Corte Esmeralda 1.32ct,piedra,,Esmeralda,1.32,disponible,459.09,,,Cert/Serie: G2503310163 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R34,alta,,
Esmeralda Zambia 1 - 1.3 Corte Esmeralda 1.34ct,piedra,,Esmeralda,1.34,disponible,459.09,,,Cert/Serie: G2503310162 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R35,alta,,
Esmeralda Zambia 1.5 - 3 Corte Esmeralda 0.74ct,piedra,,Esmeralda,0.74,disponible,688.64,,,Cert/Serie: G2503310173 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R36,alta,,
Esmeralda Zambia 1.5 - 3 Corte Esmeralda 0.84ct,piedra,,Esmeralda,0.84,disponible,688.64,,,Cert/Serie: G2503310172 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R37,alta,,
Esmeralda Zambia 5.8 - 6.5 Corte Esmeralda,piedra,,Esmeralda,,disponible,2662.74,,,Cert/Serie: G2503310166 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R38,alta,,
Esmeralda Zambia 5.8 - 6.5 Corte Esmeralda,piedra,,Esmeralda,,disponible,2662.74,,,Cert/Serie: G2503310167 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R39,alta,,
Marquise Ideal 1.11 D VVS1,piedra,,Marquise,,disponible,4639,,,Cert/Serie: LG691538590 | DIAMANTES,Operaciones v1/Inventario Gemas/R40,alta,,
Marquise Ideal 1.53 D VVS1,piedra,,Marquise,,vendido,7375,,,Cert/Serie: LG683568991 | DIAMANTES,Operaciones v1/Inventario Gemas/R41,alta,,
Marquise Ideal 1.55 D VVS1,piedra,,Marquise,,disponible,7375,,,Cert/Serie: LG641410746 | DIAMANTES,Operaciones v1/Inventario Gemas/R42,alta,,
Marquise Ideal 2.03 D VVS1,piedra,,Marquise,,disponible,14750,,,Cert/Serie: LG654430600 | DIAMANTES,Operaciones v1/Inventario Gemas/R43,alta,,
Marquise Ideal 2.05 D VVS1,piedra,,Marquise,,vendido,14750,,,Cert/Serie: LG658472413 | DIAMANTES,Operaciones v1/Inventario Gemas/R44,alta,,
Oval Ideal 1.03 D VVS1,piedra,,Oval,,vendido,4591,,,Cert/Serie: LG668468106 | DIAMANTES,Operaciones v1/Inventario Gemas/R45,alta,,
Oval Ideal 1.07 D VVS1,piedra,,Oval,,vendido,4591,,,Cert/Serie: LG685576099 | DIAMANTES,Operaciones v1/Inventario Gemas/R46,alta,,
Oval Ideal 1.51 D VVS1,piedra,,Oval,,vendido,7375,,,Cert/Serie: LG689505841 | DIAMANTES,Operaciones v1/Inventario Gemas/R47,alta,,
Oval Ideal 1.52 D VVS1,piedra,,Oval,,disponible,7375,,,Cert/Serie: LG691565015 | DIAMANTES,Operaciones v1/Inventario Gemas/R48,alta,,
Oval Ideal 1.53 D VVS1,piedra,,Oval,,disponible,7375,,,Cert/Serie: LG669418785 | DIAMANTES,Operaciones v1/Inventario Gemas/R49,alta,,
Oval Ideal 1.54 D VVS1,piedra,,Oval,,disponible,7833.333333333333,,,Cert/Serie: LG711502454 | DIAMANTES,Operaciones v1/Inventario Gemas/R50,alta,,
Oval Ideal 1.54 D VVS1,piedra,,Oval,,disponible,7833.333333333333,,,Cert/Serie: LG715554483 | DIAMANTES,Operaciones v1/Inventario Gemas/R51,alta,,
Oval Ideal 1.57 D VVS1,piedra,,Oval,,vendido,7833.333333333333,,,Cert/Serie: LG713523142 | DIAMANTES,Operaciones v1/Inventario Gemas/R52,alta,,
Oval Ideal 2.27 D VVS1,piedra,,Oval,,vendido,12846,,,Cert/Serie: LG685541007 | DIAMANTES,Operaciones v1/Inventario Gemas/R53,alta,,
Oval Ideal 2.28 D VVS1,piedra,,Oval,,vendido,12846,,,Cert/Serie: LG678534471 | DIAMANTES,Operaciones v1/Inventario Gemas/R54,alta,,
Oval Ideal 2.30 D VVS1,piedra,,Oval,,vendido,12846,,,Cert/Serie: LG691570788 | DIAMANTES,Operaciones v1/Inventario Gemas/R55,alta,,
Pear Ideal 1.65 D VVS1,piedra,,Pear,,reservado,7851,,,Cert/Serie: LG683568940 | DIAMANTES | Montado en expo (MON EXPO),Operaciones v1/Inventario Gemas/R56,alta,,
Pear Ideal 2.09 D VVS1,piedra,,Pear,,disponible,12846,,,Cert/Serie: LG684502579 | DIAMANTES,Operaciones v1/Inventario Gemas/R57,alta,,
Princess Ideal 1.04 D VVS1,piedra,,Princess,,disponible,4996,,,Cert/Serie: LG605360939 | DIAMANTES,Operaciones v1/Inventario Gemas/R58,alta,,
Princess Ideal 1.05 D VVS1,piedra,,Princess,,disponible,4996,,,Cert/Serie: LG690524190 | DIAMANTES,Operaciones v1/Inventario Gemas/R59,alta,,
Princess Ideal 1.05 D VVS1,piedra,,Princess,,disponible,4996,,,Cert/Serie: LG660464963 | DIAMANTES,Operaciones v1/Inventario Gemas/R60,alta,,
Princess Ideal 1.53 D VVS1,piedra,,Princess,,reservado,8921,,,Cert/Serie: LG669424552 | DIAMANTES | Montado en expo (MON EXPO),Operaciones v1/Inventario Gemas/R61,alta,,
Princess Ideal 1.54 D VVS1,piedra,,Princess,,disponible,8921,,,Cert/Serie: LG677507252 | DIAMANTES,Operaciones v1/Inventario Gemas/R62,alta,,
Princess Ideal 1.57 D VVS1,piedra,,Princess,,disponible,8921,,,Cert/Serie: LG675502211 | DIAMANTES,Operaciones v1/Inventario Gemas/R63,alta,,
Princess Ideal 1.58 D VVS1,piedra,,Princess,,disponible,8921,,,Cert/Serie: LG669480910 | DIAMANTES,Operaciones v1/Inventario Gemas/R64,alta,,
Princess Ideal 1.59 D VVS1,piedra,,Princess,,disponible,8921,,,Cert/Serie: LG685562142 | DIAMANTES,Operaciones v1/Inventario Gemas/R65,alta,,
Princess Ideal 1.96 D VVS1,piedra,,Princess,,,16653,,,Cert/Serie: LG671444675 | DIAMANTES | Estado dudoso en origen: DUDA1,Operaciones v1/Inventario Gemas/R66,media,,
Princess Ideal 1.96 D VVS1,piedra,,Princess,,reservado,16653,,,Cert/Serie: LG669476537 | DIAMANTES | Montado en expo (MON EXPO),Operaciones v1/Inventario Gemas/R67,alta,,
Princess Ideal 2.00 D VVS1,piedra,,Princess,,disponible,16653,,,Cert/Serie: LG670426884 | DIAMANTES,Operaciones v1/Inventario Gemas/R68,alta,,
Princess Ideal 2.03 D VVS1,piedra,,Princess,,disponible,16653,,,Cert/Serie: LG650481177 | DIAMANTES,Operaciones v1/Inventario Gemas/R69,alta,,
Princess Ideal 2.04 D VVS1,piedra,,Princess,,vendido,16653,,,Cert/Serie: LG650481169 | DIAMANTES,Operaciones v1/Inventario Gemas/R70,alta,,
Princess Ideal 2.08 D VVS1,piedra,,Princess,,disponible,9754,,,Cert/Serie: LG650481120 | DIAMANTES,Operaciones v1/Inventario Gemas/R71,alta,,
Radiant 2.99 D VVS2,piedra,,Radiant,,vendido,9833.37,,,Cert/Serie: LG736504949 | DIAMANTES,Operaciones v1/Inventario Gemas/R72,alta,,
Radiant 3.57 E VVS2,piedra,,Radiant,,disponible,7624.81,,,Cert/Serie: LG735524728 | DIAMANTES,Operaciones v1/Inventario Gemas/R73,alta,,
Radiant Ideal 1.57 D VVS1,piedra,,Radiant,,disponible,7375,,,Cert/Serie: LG681567342 | DIAMANTES,Operaciones v1/Inventario Gemas/R74,alta,,
Radiant Ideal 1.64 D VVS1,piedra,,Radiant,,vendido,7375,,,Cert/Serie: LG687532378 | DIAMANTES,Operaciones v1/Inventario Gemas/R75,alta,,
Radiant Ideal 2.1 D VVS1,piedra,,Radiant,,disponible,10039,,,Cert/Serie: LG660487599 | DIAMANTES,Operaciones v1/Inventario Gemas/R76,alta,,
Radiant Ideal 2.12 D VVS1,piedra,,Radiant,,disponible,10039,,,Cert/Serie: LG662445818 | DIAMANTES,Operaciones v1/Inventario Gemas/R77,alta,,
Round Ideal 1.01 D VVS1,piedra,,Round,,disponible,4472,,,Cert/Serie: LG691558889 | DIAMANTES,Operaciones v1/Inventario Gemas/R78,alta,,
Round Ideal 1.01 D VVS1,piedra,,Round,,disponible,4472,,,Cert/Serie: LG691558887 | DIAMANTES,Operaciones v1/Inventario Gemas/R79,alta,,
Round Ideal 1.01 D VVS1,piedra,,Round,,disponible,4472,,,Cert/Serie: LG689546326 | DIAMANTES,Operaciones v1/Inventario Gemas/R80,alta,,
Round Ideal 1.02 D VVS1,piedra,,Round,,disponible,4472,,,Cert/Serie: LG692554185 | DIAMANTES,Operaciones v1/Inventario Gemas/R81,alta,,
Round Ideal 1.02 D VVS1,piedra,,Round,,disponible,4472,,,Cert/Serie: LG691540103 | DIAMANTES,Operaciones v1/Inventario Gemas/R82,alta,,
Round Ideal 1.55 D VVS1,piedra,,Round,,reservado,7375,,,Cert/Serie: LG683542881 | DIAMANTES | Montado en expo (MON EXPO),Operaciones v1/Inventario Gemas/R83,alta,,
Round Ideal 1.56 D VVS1,piedra,,Round,,reservado,7375,,,Cert/Serie: LG689570766 | DIAMANTES | Montado en expo (MON EXPO),Operaciones v1/Inventario Gemas/R84,alta,,
Round Ideal 1.57 D VVS1,piedra,,Round,,vendido,7375,,,Cert/Serie: LG678549726 | DIAMANTES,Operaciones v1/Inventario Gemas/R85,alta,,
Round Ideal 1.58 D VVS1,piedra,,Round,,disponible,7375,,,Cert/Serie: LG687525895 | DIAMANTES,Operaciones v1/Inventario Gemas/R86,alta,,
Round Ideal 1.59 D VVS1,piedra,,Round,,disponible,7375,,,Cert/Serie: LG689522773 | DIAMANTES,Operaciones v1/Inventario Gemas/R87,alta,,
Round Ideal 1.59 D VVS1,piedra,,Round,,vendido,7375,,,Cert/Serie: LG691546920 | DIAMANTES,Operaciones v1/Inventario Gemas/R88,alta,,
Round Ideal 1.95 D VVS1,piedra,,Round,,vendido,15463,,,Cert/Serie: LG678568034 | DIAMANTES,Operaciones v1/Inventario Gemas/R89,alta,,
Round Ideal 1.96 D VVS1,piedra,,Round,,reservado,15463,,,Cert/Serie: LG679514409 | DIAMANTES | Montado en expo (MON EXPO),Operaciones v1/Inventario Gemas/R90,alta,,
Round Ideal 2.14 D VVS1,piedra,,Round,,vendido,15463,,,Cert/Serie: LG683542209 | DIAMANTES,Operaciones v1/Inventario Gemas/R91,alta,,
Round Ideal 2.20 D VVS1,piedra,,Round,,vendido,15463,,,Cert/Serie: LG688517762 | DIAMANTES,Operaciones v1/Inventario Gemas/R92,alta,,
Round Ideal 2.23 D VVS1,piedra,,Round,,vendido,15463,,,Cert/Serie: LG665423650 | DIAMANTES,Operaciones v1/Inventario Gemas/R93,alta,,
Rubí 1 - 1.3 Corte Cushion 1.34ct,piedra,,Rubí,1.34,disponible,535.61,,,Cert/Serie: G2503310157 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R94,alta,,
Rubí 1 - 1.3 Corte Cushion 1.36ct,piedra,,Rubí,1.36,disponible,535.61,,,Cert/Serie: G2503310155 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R95,alta,,
Rubí 1 - 1.3 Corte Cushion 1.36ct,piedra,,Rubí,1.36,,535.61,,,Cert/Serie: G2503080106 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R96,media,,
Rubí 1 - 1.3 Corte Cushion 1.41ct,piedra,,Rubí,1.41,disponible,535.61,,,Cert/Serie: G2503310156 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R97,alta,,
Rubí 1 - 1.3 Corte Cushion 1.41ct,piedra,,Rubí,1.41,disponible,535.61,,,Cert/Serie: G2503310158 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R98,alta,,
Rubí 1 - 1.3 Corte Cushion 1.41ct,piedra,,Rubí,1.41,,535.61,,,Cert/Serie: G2503080105 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R99,media,,
Rubí 1.5 - 3 Corte Cushion 3.40ct,piedra,,Rubí,3.40,disponible,1071.22,,,Cert/Serie: G2503310159 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R100,alta,,
Rubí 1.5 - 3 Corte Cushion 3.43ct,piedra,,Rubí,3.43,disponible,1071.22,,,Cert/Serie: G2503310154 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R101,alta,,
Rubí 5.8 - 6.5 Corte Cushion 5.76ct,piedra,,Rubí,5.76,disponible,2142.43,,,Cert/Serie: G2503310160 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R102,alta,,
Rubí 5.8 - 6.5 Corte Cushion 6.14ct,piedra,,Rubí,6.14,disponible,2142.43,,,Cert/Serie: G2503310161 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R103,alta,,
Zafiro 1 - 1.3 Corte Oval 1.02ct,piedra,,Zafiro,1.02,disponible,997.76,,,Cert/Serie: G2503310147 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R104,alta,,
Zafiro 1 - 1.3 Corte Oval 1.06ct,piedra,,Zafiro,1.06,disponible,997.76,,,Cert/Serie: G2503310149 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R105,alta,,
Zafiro 1 - 1.3 Corte Oval 1.06ct,piedra,,Zafiro,1.06,,997.76,,,Cert/Serie: G2503080108 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R106,media,,
Zafiro 1 - 1.3 Corte Oval 1.08ct,piedra,,Zafiro,1.08,disponible,997.76,,,Cert/Serie: G2503310150 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R107,alta,,
Zafiro 1 - 1.3 Corte Oval 1.08ct,piedra,,Zafiro,1.08,,997.76,,,Cert/Serie: G2503080109 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R108,media,,
Zafiro 1 - 1.3 Corte Oval 1.09ct,piedra,,Zafiro,1.09,disponible,997.76,,,Cert/Serie: G2503310151 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R109,alta,,
Zafiro 1.5 - 3 Corte Oval 1.67ct,piedra,,Zafiro,1.67,disponible,1499.7,,,Cert/Serie: G2503310148 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R110,alta,,
Zafiro 1.5 - 3 Corte Oval 1.71ct,piedra,,Zafiro,1.71,disponible,1499.7,,,Cert/Serie: G2503310146 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R111,alta,,
Zafiro 5.8 - 6.5 Corte Oval 6.92ct,piedra,,Zafiro,6.92,disponible,5401.99,,,Cert/Serie: G2503310152 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R112,alta,,
Zafiro 5.8 - 6.5 Corte Oval 6.97ct,piedra,,Zafiro,6.97,disponible,5401.99,,,Cert/Serie: G2503310153 | PIEDRA COLOR,Operaciones v1/Inventario Gemas/R113,alta,,
Anillo consignación A6 - DIAMANTE NATURAL 10 PUNTOS G VS2,anillo,2 GRAMOS ORO 14K,DIAMANTE NATURAL 10 PUNTOS G VS2,,consignacion,9000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 11000,Inventario/Anillos Jefa/R3,alta,,
Anillo consignación A5 - DIAMANTE NATURAL 15 PUNTOS G VS1,anillo,2 GRAMOS ORO 14K,DIAMANTE NATURAL 15 PUNTOS G VS1,,consignacion,9000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 12000,Inventario/Anillos Jefa/R4,alta,,
Anillo consignación A13 - DIAMANTE NATURAL 23 PUNTOS F VS1,anillo,1.4 GRAMOS ORO 18K,DIAMANTE NATURAL 23 PUNTOS F VS1,,consignacion,11000,La Jefa (mamá de Fer),,Talla NUMERO 5 1/2 | Precio venta 13000,Inventario/Anillos Jefa/R5,alta,,
Anillo consignación A3 - DIAMANTE NATURAL 20 PUNTOS F VS1,anillo,2 GRAMOS ORO 14K,DIAMANTE NATURAL 20 PUNTOS F VS1,,consignacion,11000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 13000,Inventario/Anillos Jefa/R6,alta,,
Anillo consignación A1 - DIAMANTE NATURAL 10 PUNTOS G VS1,anillo,3 GRAMOS ORO 14K,DIAMANTE NATURAL 10 PUNTOS G VS1,,consignacion,11000,La Jefa (mamá de Fer),,Talla NUMERO 6 1/2 | Precio venta 13000,Inventario/Anillos Jefa/R7,alta,,
Anillo consignación A19 - ANILLO CHURUMBELLA DIAMANTE NATURAL 13 BRILLANTES 26 PUNTOS,anillo,2.5 GRAMOS ORO 14K,ANILLO CHURUMBELLA DIAMANTE NATURAL 13 BRILLANTES 26 PUNTOS,,consignacion,11000,La Jefa (mamá de Fer),,Talla NUMERO 7 | Precio venta 14000,Inventario/Anillos Jefa/R8,alta,,
Anillo consignación A11 - DIAMANTE NATURAL 15 PUNTOS G VS1,anillo,3.5 GRAMOS ORO 14K,DIAMANTE NATURAL 15 PUNTOS G VS1,,consignacion,12000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 16000,Inventario/Anillos Jefa/R9,alta,,
Anillo consignación A12 - DIAMANTE NATURAL 18 PUNTOS G VS1,anillo,2.6 GRAMOS ORO 18K,DIAMANTE NATURAL 18 PUNTOS G VS1,,consignacion,12000,La Jefa (mamá de Fer),,Talla NUMERO 6 1/2 | Precio venta 16000,Inventario/Anillos Jefa/R10,alta,,
Anillo consignación A26 - DIAMANTE NATURAL 25 PUNTOS H IS3,anillo,2.7 GRAMOS ORO 14K,DIAMANTE NATURAL 25 PUNTOS H IS3,,consignacion,13000,La Jefa (mamá de Fer),,Talla NUMERO 7 1/2 | Precio venta 16000,Inventario/Anillos Jefa/R11,alta,,
Anillo consignación A21 - DIAMANTE NATURAL 8 PUNTOS G VS1,anillo,3.6 GRAMOS ORO 14K,DIAMANTE NATURAL 8 PUNTOS G VS1,,consignacion,12000,La Jefa (mamá de Fer),,Talla NUMERO 7 1/2 | Precio venta 16000,Inventario/Anillos Jefa/R12,alta,,
Anillo consignación A18 - DIAMANTE NATURAL 40 PUNTOS G SI1,anillo,1.9 GRAMOS ORO 14K,DIAMANTE NATURAL 40 PUNTOS G SI1,,consignacion,14000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 17000,Inventario/Anillos Jefa/R13,alta,,
Anillo consignación A4 - DIAMANTE NATURAL 28 PUNTOS F VS 1,anillo,2.3 GRAMOS ORO 14K,DIAMANTE NATURAL 28 PUNTOS F VS 1,,consignacion,16000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 19000,Inventario/Anillos Jefa/R14,alta,,
Anillo consignación A20 - ANILLO CHURUMBELLA DIAMANTE NATURAL 29 PIEDRAS,anillo,3.5 GRAMOS ORO 14K,ANILLO CHURUMBELLA DIAMANTE NATURAL 29 PIEDRAS,,consignacion,17000,La Jefa (mamá de Fer),,Talla NUMERO 5 1/2 | Precio venta 20000,Inventario/Anillos Jefa/R15,alta,,
Anillo consignación A15 - DIAMANTE NATURAL 38 PUNTOS G IS3,anillo,2.6 GRAMOS ORO 14K,DIAMANTE NATURAL 38 PUNTOS G IS3,,consignacion,16000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 20000,Inventario/Anillos Jefa/R16,alta,,
Anillo consignación A25 - DIAMANTE PRINCESS 35 PUNTOS,anillo,2.2 GRAMOS ORO 14K,DIAMANTE PRINCESS 35 PUNTOS,,consignacion,18000,La Jefa (mamá de Fer),,Talla NUMERO 5 | Precio venta 21000,Inventario/Anillos Jefa/R17,alta,,
Anillo consignación A7 - DIAMANTE NATURAL 50 PUNTOS H IS3,anillo,2.2 GRAMOS ORO 14K,DIAMANTE NATURAL 50 PUNTOS H IS3,,consignacion,18000,La Jefa (mamá de Fer),,Talla NUMERO 7 | Precio venta 21000,Inventario/Anillos Jefa/R18,alta,,
Anillo consignación A14 - DIAMANTE NATURAL 25 PUNTOS G VS1,anillo,4.7 GRAMOS ORO 14K,DIAMANTE NATURAL 25 PUNTOS G VS1,,consignacion,18000,La Jefa (mamá de Fer),,Talla NUMERO 4 1/2 | Precio venta 23000,Inventario/Anillos Jefa/R19,alta,,
Anillo consignación A10 - DIAMANTE NATURAL 42 PUNTOS G IS1,anillo,2 GRAMOS ORO 14K,DIAMANTE NATURAL 42 PUNTOS G IS1,,consignacion,20000,La Jefa (mamá de Fer),,Talla NUMERO 4 1/2 | Precio venta 24000,Inventario/Anillos Jefa/R20,alta,,
Anillo consignación A2 - DIAMANTE NATURAL 41 PUNTOS G VS1,anillo,2.7 GRAMOS ORO 14K,DIAMANTE NATURAL 41 PUNTOS G VS1,,consignacion,21000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 27000,Inventario/Anillos Jefa/R21,alta,,
Anillo consignación A9 - ANILLO DOBLE DIAMANTE NATURAL 25 PUNTOS AL CENTRO F VS1 CHURUMBELA 16 PUNTOS,anillo,4.2 GRAMOS ORO 14K,ANILLO DOBLE DIAMANTE NATURAL 25 PUNTOS AL CENTRO F VS1 CHURUMBELA 16 PUNTOS,,consignacion,21000,La Jefa (mamá de Fer),,Talla NUMERO 6 | Precio venta 27000,Inventario/Anillos Jefa/R22,alta,"Verde=vendido/entregado, pero en Producción R45 aparece 'Falta liquidar' (saldo 18500): contradicción",Q-A9
Anillo consignación A8 - DIAMANTE NATURAL MARQUISE 25 PUNTOS F VS2,anillo,3.2 GRAMOS ORO 14K,DIAMANTE NATURAL MARQUISE 25 PUNTOS F VS2,,consignacion,24000,La Jefa (mamá de Fer),,Talla NUMERO 4 1/2 | Precio venta 28000,Inventario/Anillos Jefa/R23,alta,,
Anillo consignación A24 - DIAMANTE MAQUISE 25 PUNTOS G VS1,anillo,3.3 GRAMOS PLATINO,DIAMANTE MAQUISE 25 PUNTOS G VS1,,consignacion,24000,La Jefa (mamá de Fer),,Talla NUMERO 7 | Precio venta 28000,Inventario/Anillos Jefa/R24,alta,,
Anillo consignación A23 - DIAMANTE NATURAL 25 PUNTOS G VS2 50 PUNTOS ALREDEDOR,anillo,4.2 GRAMOS ORO 14K,DIAMANTE NATURAL 25 PUNTOS G VS2 50 PUNTOS ALREDEDOR,,consignacion,24000,La Jefa (mamá de Fer),,Talla NUMERO 7 | Precio venta 28000,Inventario/Anillos Jefa/R25,alta,,
Anillo consignación A22 - DIAMANTE NATURAL 50 PUNTOS AMARILLO CANARIO FANCY,anillo,4.3 GRAMOS ORO 18K,DIAMANTE NATURAL 50 PUNTOS AMARILLO CANARIO FANCY,,vendido,25000,La Jefa (mamá de Fer),,Talla NUMERO 5 3/4 | Precio venta 29000,Inventario/Anillos Jefa/R26,alta,,
Anillo consignación A17 - DIAMANTE NATURAL 4 BRILLANTES CORTE PIZZA 50 PUNTOS G VS1,anillo,4.1 GRAMOS ORO 14K,DIAMANTE NATURAL 4 BRILLANTES CORTE PIZZA 50 PUNTOS G VS1,,consignacion,34000,La Jefa (mamá de Fer),,Talla NUMERO 7 | Precio venta 41000,Inventario/Anillos Jefa/R27,alta,,
