fecha,tipo,categoria,concepto,monto,metodo,relacionado_con,notas,_fila_origen,_confianza,_nota,_pregunta_pendiente
2025-03-29,gasto,Gasto,AliExpress cajitas 2,463.6,,,,Contabilidad v1/Transacciones/R63,alta,,
2025-03-29,gasto,Costo,Diamantes Expo Grande 2,155815.44,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R64,alta,,
2025-03-29,deuda,Deuda,Deuda Diamantes Expo Grande,473696.45,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R65,media,,Q-FIN
2025-04-02,deuda,Deuda,Deuda joyero Argollas lisas,175000,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R66,media,,Q-FIN
2025-04-03,gasto,Gasto,Joyapak Expo tu Boda,5355.12,,,,Contabilidad v1/Transacciones/R67,alta,,
2025-04-04,gasto,Costo,Pago joyero argollas lisas,174500,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R68,alta,,
2025-04-04,deuda,Deuda,Deuda Churumbelas,121711.09,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R69,media,,Q-FIN
2025-04-04,gasto,Costo,Churumbelas Wholesale,121711.09,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R70,alta,,
2025-04-05,ingreso,Ingreso,Liquidación Argolla Javier,10000,,,,Contabilidad v1/Transacciones/R71,alta,,
2025-04-05,gasto,Costo,Mercado Pago Liq Argolla Javier,406,transferencia,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R72,alta,,
2025-04-08,gasto,Costo,Ajuste diamantes Expo Grande,1064.24,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R73,alta,,
2025-04-08,ingreso,Ingreso,Luis Entrega Anillo,31500,,,,Contabilidad v1/Transacciones/R74,alta,,
2025-04-10,gasto,Costo,Aduanas piedras color grande,939.61,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R75,alta,,
2025-04-21,gasto,Costo,Aduanas diamantes 3 grande,19560,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R76,alta,,
2025-04-21,deuda,Deuda,Deuda aduanas papá fer,71895,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R77,media,,Q-FIN
2025-04-21,gasto,Costo,Pago klar aduanas,3500,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R78,alta,,
2025-04-23,gasto,Costo,Aduanas diamantes 2 grande,29335,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R79,alta,,
2025-04-23,gasto,Costo,Forte Parte 2,42214.37,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R80,alta,,
2025-04-24,gasto,Costo,Aduanas diamantes 1 grande,26500,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R81,alta,,
2025-04-26,ingreso,Ingreso,Liquidación Anillo Victor,29000,,,,Contabilidad v1/Transacciones/R82,alta,,
2025-04-26,gasto,Costo,Fees Mercado Pago Anillo Victor,1177.3999999999999,transferencia,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R83,alta,,
2025-04-26,ingreso,Ingreso,Ingreso piedra papá fer,16653,,,,Contabilidad v1/Transacciones/R84,alta,,
2025-04-26,pago_deuda,Pago Deuda,Pago deuda papá fer anillo cecy,16653,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Pago Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R85,media,,Q-FIN
2025-05-04,ingreso,Ingreso,Argollas raritos 2,12951.9,,,,Contabilidad v1/Transacciones/R86,alta,,
2025-05-04,gasto,Gasto,Kickoff Marketing,9500,,,,Contabilidad v1/Transacciones/R87,alta,,
2025-05-06,deuda,Deuda,Oro 10 anillos papá fer,55500,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R88,media,,Q-FIN
2025-05-06,gasto,Costo,Oro 10 anillos agustín,55500,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R89,alta,,
2025-05-07,gasto,Costo,Melees,4372.34,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R90,alta,,
2025-05-12,gasto,Gasto,Pago Expo tu Boda,8600,,,,Contabilidad v1/Transacciones/R91,alta,,
2025-05-15,gasto,Gasto,Vitrinas anticipo,6500,,,,Contabilidad v1/Transacciones/R92,alta,,
2025-05-18,ingreso,Ingreso,Anillo Merlo,50000,,Efectivo,,Contabilidad v1/Transacciones/R93,alta,,
2025-05-18,gasto,Costo,DHL pago,764.88,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R94,alta,,
2025-05-21,gasto,Gasto,Tema Shopify,9366.24,,,,Contabilidad v1/Transacciones/R95,alta,,
2025-05-22,gasto,Gasto,Logos metal adelanto,6400,,,,Contabilidad v1/Transacciones/R96,alta,,
2025-05-23,gasto,Gasto,Local reserv,10000,,,,Contabilidad v1/Transacciones/R97,alta,,
2025-05-25,gasto,Gasto,Viniles,1990,,,,Contabilidad v1/Transacciones/R98,alta,,
2025-05-25,gasto,Gasto,GoDaddy Transf Dominio,253.59,transferencia,,,Contabilidad v1/Transacciones/R99,alta,,
2025-05-27,gasto,Gasto,Muebles anticipo,212,,,,Contabilidad v1/Transacciones/R100,alta,,
2025-05-29,ingreso,Ingreso,Manolo anillo anticipo,5000,,Efectivo,,Contabilidad v1/Transacciones/R101,alta,,
2025-05-30,gasto,Gasto,Mamadas Expo,947.69,,,,Contabilidad v1/Transacciones/R102,alta,,
2025-05-30,gasto,Gasto,Gastos Cash Expo Sabado,7000,efectivo,Efectivo,,Contabilidad v1/Transacciones/R103,alta,,
2025-05-30,gasto,Gasto,Deuda Fer Expo,1850,,,,Contabilidad v1/Transacciones/R104,alta,,
2025-05-30,gasto,Gasto,Lamparas,1187.97,,,,Contabilidad v1/Transacciones/R105,alta,,
2025-06-02,gasto,Gasto,Instalación Letreros metal,4300,,,,Contabilidad v1/Transacciones/R106,alta,,
2025-06-02,gasto,Gasto,Estacionamiento Expo 2,100,,,,Contabilidad v1/Transacciones/R107,alta,,
2025-06-02,gasto,Costo,Diamante jodido,2340.84,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R108,alta,,
2025-06-02,ingreso,Ingreso,Anticipo Monica,2500,,Efectivo,,Contabilidad v1/Transacciones/R109,alta,,
2025-06-02,gasto,Costo,Diamante Jodido +,1608.05,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R110,alta,,
2025-06-11,gasto,Gasto,Sintesis,30000,,Efectivo,,Contabilidad v1/Transacciones/R111,alta,,
2025-06-12,ingreso,Ingreso,Merlo Anticipo 2,5500,,Efectivo,,Contabilidad v1/Transacciones/R112,alta,,
2025-06-17,gasto,Gasto,Lamparas,1216,,,,Contabilidad v1/Transacciones/R113,alta,,
2025-06-17,gasto,Costo,Aduanas Forte,4000,,Efectivo,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R114,alta,,
2025-06-18,gasto,Gasto,Expo tu Boda Pago 2,14000,,,,Contabilidad v1/Transacciones/R115,alta,,
2025-06-18,gasto,Gasto,Transf Cash a cuenta,14000,transferencia,Efectivo,,Contabilidad v1/Transacciones/R116,alta,,
2025-06-18,ingreso,Ingreso,Transf Cash a cuenta,14000,transferencia,,,Contabilidad v1/Transacciones/R117,alta,,
2025-06-19,gasto,Gasto,Oficialía,300,,,,Contabilidad v1/Transacciones/R118,alta,,
2025-06-19,ingreso,Ingreso,Merlo liquidación,7000,,Efectivo,,Contabilidad v1/Transacciones/R119,alta,,
2025-06-19,deuda,Deuda,Gilsa y sintesis y agustin,105000,,Efectivo,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R120,media,,Q-FIN
2025-06-19,gasto,Costo,Agustin,41500,,Efectivo,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R121,alta,,
2025-06-19,gasto,Gasto,Sintesis naming,14616,,,,Contabilidad v1/Transacciones/R122,alta,,
2025-06-19,gasto,Gasto,Taller Joyería,1000,,,,Contabilidad v1/Transacciones/R123,alta,,
2025-06-19,gasto,Gasto,Gilsa,5000,,Efectivo,,Contabilidad v1/Transacciones/R124,alta,,
2025-06-19,gasto,Gasto,Mueble Joyero,5300,,Efectivo,,Contabilidad v1/Transacciones/R125,alta,,
2025-06-19,gasto,Gasto,Transf Cash a cuenta,19500,transferencia,Efectivo,,Contabilidad v1/Transacciones/R126,alta,,
2025-06-19,ingreso,Ingreso,Transf Cash a cuenta,19500,transferencia,,,Contabilidad v1/Transacciones/R127,alta,,
2025-06-20,deuda,Deuda,Piedra Gilsa,17882.84,,,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R128,media,,Q-FIN
2025-06-20,gasto,Gasto,Piedra Gilsa,17882.84,,,,Contabilidad v1/Transacciones/R129,alta,,
2025-06-22,gasto,Gasto,Muebles,390,,,,Contabilidad v1/Transacciones/R130,alta,,
2025-06-22,ingreso,Ingreso,Anticipo Catherine,959.4,,,,Contabilidad v1/Transacciones/R131,alta,,
2025-06-22,ingreso,Ingreso,Anticipo David,1000,,Efectivo,,Contabilidad v1/Transacciones/R132,alta,,
2025-06-22,ingreso,Ingreso,Anticipo Juan Vega,1000,,Efectivo,,Contabilidad v1/Transacciones/R133,alta,,
2025-06-22,ingreso,Ingreso,Anticipo Anna Georgina,1000,,Efectivo,,Contabilidad v1/Transacciones/R134,alta,,
2025-06-22,ingreso,Ingreso,Anticipo Adrián Alejandro,1000,,Efectivo,,Contabilidad v1/Transacciones/R135,alta,,
2025-06-23,gasto,Gasto,Gastos Expo tu Boda,1815,,,,Contabilidad v1/Transacciones/R136,alta,,
2025-06-23,gasto,Gasto,Joyero,6000,,Efectivo,,Contabilidad v1/Transacciones/R137,alta,,
2025-06-25,gasto,Gasto,Liquidacion sintesis,27500,,Efectivo,,Contabilidad v1/Transacciones/R138,alta,,
2025-06-27,gasto,Gasto,Joyero curso 2,4000,,Efectivo,,Contabilidad v1/Transacciones/R139,alta,,
2025-06-27,gasto,Gasto,Gastos plata piedras y centro,2440,,,,Contabilidad v1/Transacciones/R140,alta,,
2025-06-27,gasto,Gasto,Gastos plata piedras y centro,1000,,Efectivo,,Contabilidad v1/Transacciones/R141,alta,,
2025-06-28,ingreso,Ingreso,Liquidación Catherine,12472.6,,,,Contabilidad v1/Transacciones/R142,alta,,
2025-07-04,deuda,Deuda,Churumbelas Wholesale,16920,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R143,media,,Q-FIN
2025-07-04,gasto,Costo,Churumbelas Wholesale,16920,,,"Clasif. original 'Costo' (costo de venta), mapeado a gasto",Contabilidad v1/Transacciones/R144,alta,,
2025-07-04,gasto,Gasto,Gastos impresora 3D,14291.460000000001,,,,Contabilidad v1/Transacciones/R145,alta,,
2025-07-04,deuda,Deuda,Deuda Fer Impresora 3D,1403.10999999987,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R146,media,,Q-FIN
2025-07-04,deuda,Deuda,Deuda Fer Piedras y laminadora,4750,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R147,media,,Q-FIN
2025-07-04,gasto,Gasto,Deuda Fer Piedras y laminadora conversión cash,4750,efectivo,,,Contabilidad v1/Transacciones/R148,alta,,
2025-07-04,ingreso,Ingreso,Deuda Fer Piedras y laminadora conversión cash,4750,efectivo,Efectivo,,Contabilidad v1/Transacciones/R149,alta,,
2025-07-04,gasto,Gasto,Piedras decoración,1250,,Efectivo,,Contabilidad v1/Transacciones/R150,alta,,
2025-07-04,gasto,Gasto,Laminadora,3500,,Efectivo,,Contabilidad v1/Transacciones/R151,alta,,
2025-07-04,deuda,Deuda,Deuda compra nivoda,22000,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R152,media,,Q-FIN
2025-07-04,gasto,Gasto,Compra nivoda,22000,,,,Contabilidad v1/Transacciones/R153,alta,,
2025-07-07,deuda,Deuda,Deuda Papá Fer,20000,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R154,media,,Q-FIN
2025-07-07,deuda,Deuda,Deuda Fer,100,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R155,media,,Q-FIN
2025-07-07,gasto,Gasto,Conversión a cash  Fer y Papá Fer,20100,efectivo,,,Contabilidad v1/Transacciones/R156,alta,,
2025-07-07,ingreso,Ingreso,Conversión a cash  Fer y Papá Fer,20100,efectivo,Efectivo,,Contabilidad v1/Transacciones/R157,alta,,
2025-07-07,gasto,Gasto,JosaPHAT,1500,,Efectivo,,Contabilidad v1/Transacciones/R158,alta,,
2025-07-07,gasto,Gasto,Agustin trabajo,3400,,Efectivo,,Contabilidad v1/Transacciones/R159,alta,,
2025-07-08,gasto,Gasto,Transf Cash a cuenta,28900,transferencia,Efectivo,,Contabilidad v1/Transacciones/R160,alta,,
2025-07-08,ingreso,Ingreso,Transf Cash a cuenta,28900,transferencia,,,Contabilidad v1/Transacciones/R161,alta,,
2025-07-08,gasto,Gasto,Pearl MKT,12500,,,,Contabilidad v1/Transacciones/R162,alta,,
2025-07-08,gasto,Gasto,SinTesis pago rebrand,12528,,,,Contabilidad v1/Transacciones/R163,alta,,
2025-07-08,ingreso,Ingreso,Anticipo Raquel Alejandra,1500,,,,Contabilidad v1/Transacciones/R164,alta,,
2025-07-08,gasto,Gasto,Fany Joyería Taller,3065,,,,Contabilidad v1/Transacciones/R165,alta,,
2025-07-08,gasto,Gasto,Dolor Suchiate,129500,,,,Contabilidad v1/Transacciones/R166,alta,,
2025-07-08,deuda,Deuda,Deuda Suchiate,129500,,Papá Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R167,media,,Q-FIN
2025-07-09,pago_deuda,Pago Deuda,Pago falso,5372,,Fer,"Flujo de financiamiento/capital (Clasif. 'Pago Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R168,media,,Q-FIN
2025-07-09,deuda,Deuda,Hojas e impresión,239,,Santi,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R169,media,,Q-FIN
2025-07-09,gasto,Gasto,Hojas e impresión,239,,,,Contabilidad v1/Transacciones/R170,alta,,
2025-07-09,ingreso,Ingreso,Pago Monica,7000,,,,Contabilidad v1/Transacciones/R171,alta,,
2025-07-09,ingreso,Ingreso,Pago Manolo porcion tarjeta,8000,tarjeta,,,Contabilidad v1/Transacciones/R172,alta,,
2025-07-09,ingreso,Ingreso,Pago Manolo porcion cash,37000,efectivo,Efectivo,,Contabilidad v1/Transacciones/R173,alta,,
2025-07-10,gasto,Gasto,Taller Humberto,6000,,Efectivo,,Contabilidad v1/Transacciones/R174,alta,,
2025-07-10,gasto,Gasto,Gasto tanque de gas parte 1,500,,Efectivo,,Contabilidad v1/Transacciones/R175,alta,,
2025-07-10,deuda,Deuda,Deuda Fer,200,,,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R176,media,,Q-FIN
2025-07-10,gasto,Gasto,Gasto deuda fer a cash,200,efectivo,,,Contabilidad v1/Transacciones/R177,alta,,
2025-07-10,ingreso,Ingreso,Gasto deuda fer a cash,200,efectivo,Efectivo,,Contabilidad v1/Transacciones/R178,alta,,
2025-07-10,gasto,Gasto,Gasto tanque de gas parte 2,200,,Efectivo,,Contabilidad v1/Transacciones/R179,alta,,
2025-07-10,deuda,Deuda,Deuda Fer Fany,3065,,Fer,"Flujo de financiamiento/capital (Clasif. 'Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R180,media,,Q-FIN
2025-07-10,gasto,Gasto,Caja Herramienta,700,,Efectivo,,Contabilidad v1/Transacciones/R181,alta,,
2025-07-10,gasto,Gasto,Cava,2500,,Efectivo,,Contabilidad v1/Transacciones/R182,alta,,
2025-07-11,pago_deuda,Pago Deuda,Liquidación Deuda Fer Limpieza,2000,,Fer,"Flujo de financiamiento/capital (Clasif. 'Pago Deuda'), NO ingreso/gasto de operación: definir destino",Contabilidad v1/Transacciones/R183,media,,Q-FIN
2025-07-11,ingreso,Ingreso,Depósito Monica,3000,,,,Contabilidad v1/Transacciones/R184,alta,,
2025-07-12,gasto,Gasto,HEB dolor,4093.1,,,,Contabilidad v1/Transacciones/R185,alta,,
